"Source","ORG_NAME","Target","PROJECT_NAME","Label","Url"
"1","Naturalmente Verona - Arcipelago Scec","2","Biosol","organizzatore principale","http://www.retebuonvivere.org/node/3"
"1","Naturalmente Verona - Arcipelago Scec","5","Retebuonvivere.org","organizzatore principale","http://www.retebuonvivere.org/node/6"
"4","Mag Verona","5","Retebuonvivere.org","organizzatore principale","http://www.retebuonvivere.org/node/7"
"8","Villa Buri onlus","11","Cantiere di Mondi Nuovi e Festa di Primavera 2014","organizzatore principale","http://www.retebuonvivere.org/node/12"
"17","Casa di Ramia","11","Cantiere di Mondi Nuovi e Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/18"
"19","Pamoja","11","Cantiere di Mondi Nuovi e Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/20"
"23","Cooperativa Ca' Magre","2","Biosol","collaboratore","http://www.retebuonvivere.org/node/24"
"25","Tabulè Verona","11","Cantiere di Mondi Nuovi e Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/26"
"27","Medici Senza Frontiere - Gruppo di Verona","11","Cantiere di Mondi Nuovi e Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/28"
"29","Coop. Soc. Galileo","5","Retebuonvivere.org","collaboratore","http://www.retebuonvivere.org/node/30"
"31","Ceres Pane Biologico","2","Biosol","collaboratore","http://www.retebuonvivere.org/node/32"
"33","Rete Bio","2","Biosol","collaboratore","http://www.retebuonvivere.org/node/34"
"4","Mag Verona","2","Biosol","collaboratore","http://www.retebuonvivere.org/node/35"
"36","Le Rondini","2","Biosol","collaboratore","http://www.retebuonvivere.org/node/37"
"1","Naturalmente Verona - Arcipelago Scec","38","Arcipelago SCEC - Isola Veneto, Trentino e Alto Adige","organizzatore principale","http://www.retebuonvivere.org/node/39"
"23","Cooperativa Ca' Magre","38","Arcipelago SCEC - Isola Veneto, Trentino e Alto Adige","Scec socio accettatore","http://www.retebuonvivere.org/node/40"
"36","Le Rondini","38","Arcipelago SCEC - Isola Veneto, Trentino e Alto Adige","Scec socio accettatore","http://www.retebuonvivere.org/node/41"
"42","PoveglianoATuttoGAS","2","Biosol","collaboratore","http://www.retebuonvivere.org/node/43"
"45","Vivere Impatto Zero","38","Arcipelago SCEC - Isola Veneto, Trentino e Alto Adige","Scec socio accettatore","http://www.retebuonvivere.org/node/46"
"47","Planet Viaggi Responsabili","38","Arcipelago SCEC - Isola Veneto, Trentino e Alto Adige","Scec punto scec","http://www.retebuonvivere.org/node/48"
"49","Umberto I Ristopizzeria","38","Arcipelago SCEC - Isola Veneto, Trentino e Alto Adige","Scec punto scec","http://www.retebuonvivere.org/node/50"
"8","Villa Buri onlus","59","Festa di Primavera 2014",NULL,"http://www.retebuonvivere.org/node/60"
"1","Naturalmente Verona - Arcipelago Scec","59","Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/61"
"21","Agesci - Clan Amunì VR27","59","Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/62"
"63","Agesci - Clan Vago di Lavagno","59","Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/64"
"65","Gruppo volontari Madonna di Campagna","59","Festa di Primavera 2014","collaboratore","http://www.retebuonvivere.org/node/66"
